label,intensity_DNA1,intensity_PD1,intensity_SOX10,polarity_PD1,centroid-0,centroid-1
60,2775529.0,1469966.0,375370.0,0.15092342880915538,1221,15
62,2921614.0,393316.0,1707385.0,0.09536478334053008,2036,16
64,1624734.0,640058.0,233587.0,0.04156211847617874,776,14
67,1358448.0,1036391.0,314697.0,0.022228855048547415,785,17
70,1277652.0,454280.0,257835.0,0.02595482782012799,2080,17
72,1749138.0000000002,385295.0,152603.0,0.10927657744561267,1678,17
73,581315.0,207364.0,245008.99999999997,0.28908873209996716,2024,17
75,2171249.0,257997.99999999997,455626.0,0.04395510659900848,883,16
77,2053529.9999999998,966487.0,226722.0,0.030641911510506974,1377,19
79,3319146.0,1019950.0,1186645.0,0.24491735489070213,947,24
82,1905562.0,377399.0,317650.0,0.0788305862453654,1271,19
83,429086.0,266684.0,330981.0,0.14787698992149256,1385,18
90,2180238.0,625403.0,382229.00000000006,0.1183189836029509,1973,22
91,1294497.0,968542.9999999999,281587.0,0.07730849435664659,1403,22
96,2169428.0,417419.0,264340.0,0.14650476028421766,2131,22
97,1839618.0,985554.9999999999,226332.0,0.22043094154543674,1085,23
98,2170096.0,360902.0,534287.0,0.054760379708286955,1346,24
100,910858.0,2190256.0,239801.0,0.025243052206679516,1893,18
101,1545964.0,356329.0,313781.0,0.06638449705044577,1121,24
102,668934.0,569717.0,138244.0,0.08234393734037462,1313,21
105,2461993.0,158333.0,2010765.0,0.09843229864761725,834,23
106,1105143.0,109229.0,1633310.0,0.017518315958088906,923,20
107,1110640.0,109629.0,796989.0,0.15968788774266068,1325,16
109,754033.9999999999,293820.0,301616.0,0.04058947686185703,700,26
113,1420072.0,2550520.0,149533.0,0.15185663799115473,1653,26
114,1325923.0,318064.0,345712.0,0.03418016731922564,643,25
115,1002022.9999999999,328615.0,334263.0,0.035911910647036874,667,27
116,2275237.0,238027.0,1663397.0,0.15488526033059083,847,21
117,1518818.0,194316.0,224338.0,0.16333672263031002,1103,26
118,874183.0,839115.0,167249.0,0.06177836591844607,1235,21
120,421494.0,138038.0,224416.0,0.25225523401826283,1422,18
121,1606969.0,789867.0,1108124.0,0.1508956111223856,1595,23
125,2116198.0,495791.0,1737352.0,0.21077666236122547,1492,23
126,2338888.0,1158510.0,1521074.0,0.06655914782081718,1613,21
127,653406.0,225776.0,216245.0,0.14799111471097184,718,28
128,838086.0,342954.0,340040.0,0.12829703298000308,1019,26
130,2479951.0,439319.0,272105.0,0.14218264418728221,1458,22
131,1194644.0,277092.0,184926.0,0.13579643673474207,1712,24
132,2154258.0,508701.0,1378835.9999999998,0.025574399273479206,607,33
133,995152.0,536421.0,346561.0,0.02457931934752652,804,30
136,1590983.9999999998,832043.0,598330.0,0.27716415686106,1583,27
137,1166350.0,520010.99999999994,575784.0,0.09266152332311667,1764,32
138,722417.0,341150.0,494432.0,0.018849986371799875,510,31
139,787298.0,284309.0,343921.0,0.040049721947119525,575,31
141,1130409.0,366076.0,463290.0,0.023110728523094794,539,34
142,540740.0,1190961.0,96408.0,0.06195569207680676,1071,29
143,533198.0,107852.0,36043.0,0.011391466071632586,1679,23
146,331136.0,147542.0,135084.0,0.09002519483860635,732,32
147,833157.0,50837.0,1148458.0,0.0,917,27
149,1005565.0,957971.9999999999,317361.0,0.07161168253172435,982,35
150,471703.0,639114.0,121590.0,0.09097046453724732,1215,32
154,1894824.0,602091.0,193772.0,0.05667620102680469,1317,30
156,894971.0,332019.0,201605.00000000003,0.16197269887605314,1728,35
158,606849.0,1152714.0,207186.0,0.09377252131642634,1907,35
160,2709629.0,186232.0,2247106.0,0.026253554356099794,820,32
161,1860699.0,445658.0,336170.0,0.33956055821657233,1069,36
162,1979808.0,561286.0,353943.0,0.2406563364922862,1206,36
163,1092284.0,619698.0,145992.0,0.17075359015981523,1517,30
165,601808.0,296334.0,171229.0,0.24533033607517862,1924,36
166,1154798.0,214790.0,166770.0,0.037952302747368855,2060,36
167,1235011.0,421082.0,1061843.0,0.027134809582914223,757,37
168,2541127.0,349742.0,3215310.0,0.028671490528483928,899,39
169,1483006.9999999998,363678.0,125715.0,0.25280313971403057,1695,34
170,1346344.0,288313.0,128715.0,0.37632818000786017,1097,33
171,584520.0,407339.0,73201.0,0.05699891583130604,1681,31
172,1832127.0,2247203.0,307442.0,0.04438183083826219,2022,35
175,1197984.0,472400.99999999994,603897.0,0.07025453581728854,1281,40
177,748049.0,310402.0,106830.0,0.12587157868295099,1668,35
179,1452635.0,258198.0,175077.0,0.17890785744001295,1823,40
180,794360.0,429297.0,161567.0,0.039403211775601625,2068,41
181,1223422.0,214069.0,214073.0,0.04057967060755313,638,36
182,914198.0,490960.0,252932.0,0.36560496493065087,870,39
183,2199387.0,333101.0,955177.0000000001,0.12862567090205537,1310,40
185,926327.0,1361215.0,189024.0,0.17175224169618244,1642,35
186,1841097.0,731826.0,133065.0,0.2727581851552234,2141,43
187,1444745.9999999998,377942.0,323221.0,0.4284121870117432,703,39
188,1732426.0,262187.0,353051.0,0.012673532087352482,779,41
191,1895367.0,381669.0,240333.00000000003,0.04058691857950198,2083,45
192,1395939.0,254573.00000000003,1674122.0,0.07193600794247078,841,42
193,1957882.0,593730.0,1283692.0,0.197371931925296,1493,38
194,1591512.0,729105.0,139447.0,0.08133803691245906,1706,40
195,1331887.0,2042811.0,248428.0,0.15561178879272675,1798,45
197,1410725.0,979731.0000000001,355211.0,0.31675594053849954,951,44
198,1489857.0,1835397.9999999998,277832.0,0.024940440846188006,1002,47
199,685929.0,180344.0,61696.0,0.5179473741810314,2134,45
200,1253624.0,223578.0,236790.00000000003,0.027244196384763712,568,41
202,1108108.0,1941095.0,176359.0,0.14956206417888582,1447,42
203,711984.0,482248.0,101698.0,0.11857992653454379,1457,42
204,1012888.0000000001,1264067.0,124246.0,0.1088097625587687,1537,42
205,1995646.0,4997586.0,318009.0,0.024888775665003957,1579,41
206,692377.0,1825627.0,232872.0,0.08100438231505556,1600,45
207,495851.0,296459.0,351859.0,0.024680724741011968,489,47
208,1016533.0,211388.0,207031.0,0.023256583664752563,592,45
210,1914083.0,485815.0,363700.0,0.1056824691582642,1114,47
211,1716449.0,691548.0,198248.0,0.21067752452737462,1994,49
212,979490.0,288214.0,133999.0,0.36543951860851814,2126,47
214,573716.0,193244.0,209252.0,0.02741935015959328,531,42
216,598509.0,288932.0,66883.0,0.16385419291244802,1513,39
217,1635464.0,410393.0,135090.0,0.084191083927028,1522,43
218,354799.0,108676.99999999999,50436.99999999999,0.30831806468985895,1675,42
220,2838115.0,334346.0,3412459.0,0.03227576809540537,819,45
221,1161229.0,6566715.0,218045.0,0.20279311486169826,862,49
223,2478545.0,1180024.0,225615.0,0.12213366744527224,1682,48
224,920925.0,752927.0,94366.0,0.04555642512736741,1984,51
226,750903.0,92062.0,126035.0,0.023423046689146385,751,48
228,1224466.0,2845202.0,202319.0,0.3177278049247453,1631,52
229,2278454.0,1146513.0,244788.0,0.25720517446759683,1784,55
230,1789163.0,392678.0,263729.0,0.04312850900457718,2054,51
231,1269763.0,251440.00000000003,157940.0,0.11208488851848251,2115,52
232,867778.0,367753.0,142746.0,0.11596161509906472,1976,54
233,1691875.0,1068085.0,144819.0,0.0914045197156995,2147,51
234,960513.0,357089.0,335856.0,0.06494763831829829,513,54
235,395797.0,131142.0,165816.0,0.024400069345782267,618,54
237,1932502.0,719508.0,362740.0,0.0671799354660946,1238,54
238,608221.0,3517439.0,199609.0,0.06030352615908717,1483,51
240,1178234.0,1516610.0,146295.0,0.18506473417329744,1811,51
241,1577916.0000000002,1275192.0,239024.00000000003,0.17133242825553838,1828,52
244,843537.9999999999,1281644.0,265970.0,0.17913577287218133,1395,56
247,965207.9999999999,2428433.0,147516.0,0.0754242682794496,1649,56
248,912360.0,1021743.0,186951.0,0.019498924518855786,710,56
251,536015.0,107615.0,110708.0,0.044625274560652406,564,50
252,806461.0,179315.0,730448.0,0.047643135385242785,783,53
253,510910.00000000006,189258.0,580673.0,0.022796089582294603,806,54
255,2470892.0,1507196.0,314576.0,0.05772852475574806,1412,63
257,1728974.0,428935.0,152562.0,0.26059222446941693,1706,52
258,927837.0,116135.0,159472.0,0.008291081843204312,608,59
259,972438.0,354889.0,242613.0,0.22810632044398663,694,57
261,1390824.0,499162.0,352638.0,0.06672726516430011,895,57
264,2371621.0,582388.0,2244038.0,0.21676400007358773,640,54
268,2130194.0,682891.0,977453.0,0.3480160112165159,1672,62
269,1032075.9999999999,91628.0,139394.0,0.018552352758409014,598,61
270,1434424.0,739763.0,275886.0,0.15457600357730544,1369,61
271,1059672.0,286019.0,98457.0,0.11343496291665889,2107,58
272,888798.0,295532.0,513755.0,0.01850021953525285,381,63
273,585428.0,303796.0,350596.0,0.025105351604477067,442,63
275,335225.0,765404.0,212033.0,0.19719258967042258,1885,63
276,510587.0,127278.99999999999,167284.0,0.0946117098601959,753,56
277,1152771.0,5800784.0,426541.0,0.2431352590477026,852,65
278,895895.0,362474.0,338904.0,0.1663331113445181,984,64
279,688995.0,233548.0,182573.0,0.5123054074407638,1192,64
280,1526535.0,608667.0,146030.0,0.14424529191500252,1519,63
281,940052.0000000001,2103144.0,193655.0,0.03751503314667868,1772,64
282,465122.0,82084.0,87462.99999999999,0.028960588508609303,560,58
284,1155905.0,1562349.0,190002.0,0.12248953447501733,1795,60
287,1459155.0,352815.0,475235.0,0.04190292295129725,413,68
289,1633323.0,1047364.0,347252.0,0.13045219536546848,1133,69
290,626149.0,913930.0,214434.0,0.2679455246761696,1755,67
291,630469.0,646788.0,184074.0,0.09571574466370444,1174,68
293,1362092.0,203375.0,59728.0,0.10964446517344167,1985,58
294,2198835.0,950893.0,146109.0,0.26132472079152946,1999,66
295,1784398.0,383595.0,92011.0,0.1708679669602846,2132,64
297,1074320.0,311455.0,231997.0,0.15540144894281027,500,67
298,1517146.0,3639013.0,223712.0,0.14850659849290862,1502,69
302,728497.0,154695.0,52744.0,0.04806546530437286,1437,61
305,1173247.0,1086236.0,162929.0,0.07566377086058017,1928,62
306,1178198.0,3597837.0,214949.99999999997,0.08103567758985657,2014,71
307,1001726.0,326598.0,1154529.0,0.17951605070459184,620,64
309,1043975.0,850427.0,971542.0,0.26956662484735855,1154,71
310,1222117.0,1698697.0,192704.0,0.035964258949568416,1183,72
311,1420667.0,503193.99999999994,317645.0,0.21503470589697482,1315,69
312,404804.0,814793.0,114430.99999999999,0.1620196216909231,1455,68
314,962347.0,1672665.9999999998,217132.0,0.07358335785333288,1814,66
316,2187181.0,292443.0,67434.0,0.05791048801148675,2149,64
318,2086535.0,1544954.0,137742.0,0.10264526885481962,1647,66
322,1985004.0,1675714.0,268884.0,0.0648597423433125,1278,68
323,1541053.0,1179541.0,260887.0,0.11613297162312516,1480,73
324,2202434.0,2293712.0,429614.0,0.13293302138321994,1556,75
325,1034077.0,1170924.0,217245.0,0.05770059190316857,1599,74
326,1850956.0,751949.0,188791.0,0.18867000614635804,1852,73
327,613537.0,2044132.0,138114.0,0.13638898152759615,2044,73
330,534106.0,586060.0,67816.0,0.15750226440021087,1447,69
332,1566646.0,675422.0,100538.0,0.16682224034263055,1976,67
333,837188.0,1638057.0,138231.0,0.15302460387467312,2121,71
334,1310346.0,307264.0,237577.0,0.024887799370417872,511,73
335,552346.0,442396.00000000006,782424.0,0.022108999002367156,534,65
337,700903.0,1057350.0,163062.0,0.09894950655372087,1725,68
338,1153755.0,749153.0,112352.0,0.14344171722245636,1956,70
339,1901869.0,222380.0,2217022.0,0.32691868225125176,717,72
340,1364420.0,1190513.0,485051.0,0.3075429011614686,741,79
342,1337948.0,414985.0,417178.0,0.048023085084846824,460,79
348,715329.0,158071.0,66647.0,0.09237601337348914,1986,72
349,2154480.0,206256.0,2749435.0,0.011333204684124593,546,74
354,1176656.0,292587.0,274420.0,0.025816836530290464,431,78
356,923508.0,1767921.0,434603.0,0.09679079878833964,640,82
357,465713.0,647551.0,250818.00000000003,0.13095662470145358,830,80
358,1087382.0,422960.0,662135.9999999999,0.043635753779718046,1676,76
359,353182.0,757532.0,70800.0,0.12387042711956028,1775,74
360,1518034.0,493348.0,523745.0,0.032402117961763746,397,81
362,1673410.0,704744.0,151809.0,0.180968907227505,1524,78
363,699763.0,3658822.0,104645.0,0.1279259195616414,1631,79
364,2669691.0,378825.0,1902969.0,0.055725266580168215,1698,80
365,1234623.0,602855.0,260482.0,0.08216921768815125,1890,79
366,1555554.0,286221.0,76604.0,0.17918930955099993,1968,76
367,1450508.0,1006362.9999999999,136783.0,0.23546311208467802,2115,78
369,1358783.0,387611.0,371889.0,0.03616633939916091,1043,83
371,910072.0,142554.0,603247.0,0.20578794203615583,1144,78
372,738881.0,218000.0,170080.0,0.31240228552973087,1201,82
373,1208816.0,1017566.0,200700.99999999997,0.15331132072928014,1226,82
375,732305.0,281611.0,69974.0,0.17271669624833086,1996,74
376,1657241.0,308502.0,268146.0,0.2628494330296234,489,82
377,1427140.0,423029.0,117779.0,0.278121662075166,1763,79
379,430348.0,135075.0,158498.0,0.21212944657175076,478,84
380,300027.0,350371.0,95966.0,0.0,500,76
383,1489803.0,354687.0,1326399.0,0.2209084513089689,1125,83
384,656105.0,1035742.0,139665.0,0.1084675111846724,1236,84
385,1887632.0,619316.0,273508.0,0.36621505355703965,1272,82
386,1919626.9999999998,1412513.0,149483.0,0.15298122375789044,1781,83
387,783740.0,649245.0,107500.0,0.1366693647866584,1795,84
389,1908609.0,1502408.0,229626.00000000003,0.21412298386910605,1298,86
390,1202104.0,880370.0,160164.0,0.07725791152071196,1428,81
391,610510.0,218246.0,105310.0,0.09680331182806359,1453,78
392,332973.0,873430.0,66249.0,0.06366877334930526,1498,76
396,1213834.0,648784.0,139827.0,0.14794548251747025,1654,81
397,600336.0,116147.0,370370.0,0.04207906878319528,1710,78
398,1816599.9999999998,1699172.0,296830.0,0.10847058371970332,2102,88
399,1459765.0,943910.0,261529.0,0.2966999256187504,1508,82
400,1215633.0,1636104.0,211321.00000000003,0.05774727159195545,1731,88
401,762682.0,594804.0,125887.00000000001,0.153606695812786,1754,84
402,1221390.0,1991375.0,108748.0,0.3326677460825676,2013,83
403,1077241.0,432309.0,79613.0,0.2911826925835256,2030,86
404,770666.0,117873.0,354267.0,0.05993016042170762,2074,87
405,2375692.0,293916.0,3227994.0,0.18444686028275578,1162,90
406,1019660.0,278981.0,112575.0,0.13801956287719003,1439,81
407,1193610.0,832212.0,119104.0,0.2787773892069698,1936,83
408,1873243.9999999998,737264.0,148685.0,0.2776781020342159,1987,81
411,2541928.0,289580.0,3683362.0,0.02170947122619168,588,87
412,530794.0,905008.0,273645.0,0.025768731566128685,952,90
413,1699248.0,727018.0,2433250.0,0.2783540827684801,1175,91
414,2628060.0,1024471.9999999999,189874.0,0.08496796238077407,1805,90
417,938613.0,4909651.0,135245.0,0.1252553624293828,1610,83
418,3531970.0,1996253.0,931934.0,0.08026620818349471,1712,87
419,592719.0,422278.0,96348.0,0.03145833706736677,1853,82
420,1107999.0,1420189.0,128188.0,0.0807467674392978,1859,89
421,2048871.0,467774.0,134192.0,0.12432737875706873,1927,92
422,940923.0,627985.0,69762.0,0.1344092394016307,2022,88
423,710245.0,93064.0,355521.0,0.20211147916201333,2066,88
425,2263783.0,263387.0,1538394.0,0.35771981937373976,505,85
426,1509321.0,565202.0,1661425.0,0.175922811288953,618,95
428,791752.0,3615042.0,308377.0,0.028968206974193646,1363,93
429,900447.0,341883.0,130697.0,0.17012002049105662,1460,90
430,1491026.0,263926.0,55582.0,0.03414115749902733,1789,87
431,1487560.0,689200.0,113340.0,0.2401763084900612,1958,89
432,343241.0,93536.0,301357.0,0.21074691359901299,520,88
433,1608727.0,563757.0,168363.0,0.1446328369450721,1496,84
434,1245240.0,398738.0,135280.0,0.05073790621384695,1918,93
436,2566688.0,216937.0,1562744.0,0.41020492055434205,2082,96
437,2561442.0,215720.0,3048899.0,0.10880377901668854,1141,91
438,1092728.0,724684.0,203190.0,0.09348644579125386,1477,91
442,1775819.0,156493.0,1755395.0,0.36206950897023615,1112,95
443,1036478.9999999999,197205.0,567054.0,0.26220420247839404,1215,93
444,1231425.0,375634.0,458250.0,0.03346534229129687,339,97
445,550540.0,185000.0,182046.0,0.025958654815920173,435,94
447,1363764.0,324649.0,244001.0,0.02542476789222764,902,96
448,1282238.0,709873.0,183916.99999999997,0.05080310969166822,1094,89
449,2128101.0,739553.0,3357016.0,0.33826800667551843,1333,98
452,2049238.0000000002,2809679.0,247453.99999999997,0.03543220757033899,1548,93
454,1279083.0,246628.99999999997,110861.0,0.1523438622509059,2004,94
455,1874294.0,347957.0,2277699.0,0.029940472638422474,606,98
456,1526842.0,584434.0,742399.0,0.281992950355571,1678,88
457,1677104.0,1367809.0,217111.0,0.23076175122034995,1818,97
458,1449860.0,546099.0,104760.0,0.07165589129977881,1877,96
462,1285059.0,477746.99999999994,106007.0,0.19393499309187787,1416,97
465,624127.0,133689.0,724329.0,0.02090005500726365,570,95
466,1460932.0,410516.99999999994,271482.0,0.30770176654934384,802,101
467,461468.99999999994,1468465.0,258876.0,0.07202486110727278,851,98
468,2270942.0,322761.0,2200521.0,0.18578865579766668,1203,95
469,2631627.0,740789.0,226655.0,0.23326015291737767,1890,98
470,326365.0,977402.0000000001,111261.0,0.20613004584370057,737,90
471,962547.0000000001,888288.0,145796.0,0.27382152484211164,1662,98
472,829961.0,345126.0,77960.0,0.24025222600806234,1748,94
473,1284803.0,1193627.0,117590.0,0.08996640839099768,1948,97
475,1623261.0,200171.0,1739987.0,0.045832462894555774,1069,99
477,1405920.0,402188.0,99872.0,0.10624516967617081,1772,98
481,533951.0,132384.0,175775.0,0.19428866871500133,464,102
482,668236.0,855197.0,211516.0,0.05518136688696574,643,96
483,440705.0,257696.0,171689.0,0.19675588652430365,656,96
486,941960.0,476020.0,113982.0,0.10322351261489776,1970,94
487,722605.0000000001,236806.0,179487.0,0.06327073328725547,448,105
488,953987.0,411739.0,613069.0,0.09620394307361303,479,100
490,1078752.0,2111101.0,260734.99999999997,0.1506547253627645,1296,93
491,1146863.0,576450.0,822014.0,0.24729782784095136,1352,104
493,945135.0,195818.0,34835.0,0.04585584623697347,2018,93
494,1521090.0,562594.0,1105977.0,0.07614538620816808,1048,104
497,2709181.0,154691.0,1310036.0,0.038812102528392005,2069,96
498,482105.0,238582.0,223873.0,0.020071284684014225,363,104
499,1701598.0,415268.0,392855.0,0.03329219669164949,378,107
500,249619.0,62715.0,74846.0,0.016161525612068392,444,100
502,2687139.0,524407.0,3260448.0,0.11581383948527986,538,105
505,916808.0,326477.0,71837.0,0.08705896955892271,1854,95
506,1504248.0,875947.0,140066.0,0.23087069071640284,2036,103
507,1414054.0,381223.0,172229.0,0.12840908291859837,510,103
508,1055673.0,364294.0,145559.0,0.29206265749309596,1238,105
510,597462.0,873448.0,97785.0,0.23145676047606978,1467,99
511,637003.0,150784.0,46198.0,0.17645192722222644,1538,98
512,1212793.0,400578.0,101940.0,0.16258390178837742,1736,99
513,733481.0,509988.0,49681.0,0.10272393647114296,1785,100
514,1088580.0,1170929.0,142139.0,0.17001193213662122,1838,106
515,997021.0,601125.0,176328.0,0.13580902848943222,523,103
518,735183.0,888549.0000000001,149861.0,0.1532299308879108,1584,106
520,990861.0,172593.0,43237.0,0.08807565261584742,2140,98
521,953500.0,1766765.0,147373.0,0.049527774179336445,1304,104
524,1780128.0,1236769.0,202187.0,0.05688852558353235,1690,107
525,1546071.0,506251.99999999994,158584.0,0.15872107304551866,1706,102
527,915276.0000000001,263616.0,97231.0,0.34004291624197736,1994,101
530,582800.0,653309.0,156601.0,0.054185203945609606,964,108
531,1556897.0,2759822.0,472975.0,0.014810550044569736,1002,110
532,939397.0,67362.0,808113.0,0.2541472758695867,1144,101
533,2556553.0,1873048.0,3739183.0,0.15981274186361075,1275,111
534,1093074.0,1113286.0,146040.0,0.09461291101553604,1602,110
536,2311599.0,591256.0,1684368.0,0.09752265908913173,1164,108
538,948058.9999999999,2186706.0,149390.0,0.1302150342014095,1611,110
539,629416.0,228701.99999999997,63486.00000000001,0.09924516993912692,1744,101
540,3277992.0,828903.0,156037.0,0.1006084946967915,1797,103
541,755808.0,733278.0,108943.0,0.16999136283665625,1848,106
543,1599298.0,1125766.0,170704.0,0.1812588425900906,1969,103
544,1054150.0,364981.0,94162.0,0.049338089713281026,2000,103
545,1953907.9999999998,97470.0,646847.0,0.3951255686656209,2087,105
546,1574422.0,979813.0,1931775.0000000002,0.2984525276013594,1080,107
547,2528897.0,5127648.0,388084.0,0.06317945840832186,1320,112
549,1067207.0,816473.0,74272.0,0.03831885556844965,2129,103
551,978518.0,373308.0,382864.0,0.03670465267878155,320,112
555,2539994.0,407357.0,1392911.0,0.4147311324407417,1912,111
559,1053146.0,173941.0,188187.0,0.18898069977164847,422,113
560,976471.0,597965.0,220000.0,0.23196502180470965,716,112
561,971267.0,339940.0,187486.0,0.3311298510634158,773,113
562,3075741.0,772422.0,3086745.0,0.1283762988772761,1196,113
563,1548168.0,2196181.0,321652.0,0.03449582536549048,1449,114
565,566474.0,2084570.0,136712.0,0.058991246372973136,1624,112
566,1192594.0,1108144.0,80595.0,0.1427789625725637,1646,113
569,2279550.0,720648.0,978620.9999999999,0.29582781692824267,2062,107
570,1411504.0,312694.0,416072.0,0.041340074437667074,282,115
571,703351.0,1051880.0,164872.0,0.219500074724991,1252,113
572,1281788.0,1381851.0,143223.0,0.33132505099225446,1463,109
574,1099297.0,1632065.0,118540.0,0.18309977870776598,1654,109
575,2658751.0,219300.0,958804.0,0.3382992180300602,2095,112
576,1540355.0,355348.0,550155.0,0.04956567656456946,261,115
577,1215672.0,839133.0,322808.0,0.15161713640991642,676,114
579,434083.00000000006,173274.0,308562.0,0.06326045471498744,411,116
580,1752506.0,667511.0,85143.0,0.045254933785384234,1787,108
581,1145777.0,557433.0,78291.0,0.18311636597786682,1876,107
582,1165896.0,860961.0,117971.0,0.1422945368635527,2124,111
583,1208854.0,2058523.0,398671.0,0.2240279024623972,843,117
584,1304624.0,89968.0,1053936.0,0.015034475317887234,1144,108
585,1794596.0,241769.0,1071216.0,0.19447837990686734,1210,114
588,1311955.0,439544.0,101617.0,0.21783957388813374,1734,111
590,1174886.0,1320283.0,139589.0,0.2548450842385459,1888,110
591,1537567.0000000002,2839020.0000000005,146854.0,0.05566748668161143,1899,113
592,1681145.0,418748.0,124618.0,0.2542296014876216,1989,113
595,2274368.0,257040.00000000003,1763157.0,0.2722011765745307,1113,114
596,1476853.0,1516450.0,199253.0,0.05176366388070924,1506,119
598,977765.0,813098.0,286484.0,0.22734099559251944,432,119
600,878460.0,826397.0,108080.0,0.13610404524461062,1928,117
601,1277589.0,646616.0,171438.0,0.1589942576387484,1948,116
603,1767221.0,612192.0,103864.0,0.17277159545354276,2135,111
604,1149734.0,1154437.0,380766.0,0.03222643973456225,744,122
